CaseName	Always	Always	Always	Always	Always	Always	Always	Always	Always	Always	Always	Always	Always	Always	Always	Always	Always	Always	Always	Discount rate	CB3	CB4	CB5	2050Target	Nuclear	CCS	Renewables Target
cases11ya	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-missed	cb5-1000	2050-target-hit	NIL	NIL	re_target
cases124h	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-missed	cb5-1100	2050-target-hit	NIL	NIL	NIL
cases1287	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-missed	cb5-1100	2050-target-abandoned	NIL	NIL	NIL
cases12jd	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-missed	cb5-1300	2050-target-hit	NIL	uc_noccs	NIL
cases12xv	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-missed	cb5-1500	2050-target-hit	NIL	NIL	NIL
cases131d	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-missed	cb5-1500	2050-target-abandoned	NIL	NIL	NIL
cases137n	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-missed	cb5-1500	2050-target-abandoned	NIL	NIL	NIL
cases13nb	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-missed	cb5-1700	2050-target-abandoned	NIL	NIL	NIL
cases140o	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-missed	cb5-1900	2050-target-abandoned	NIL	uc_noccs	re_target
cases145f	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-missed	cb5-2000	2050-target-hit	uc_nonuc	NIL	NIL
cases1483	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-missed	cb5-2000	2050-target-abandoned	NIL	NIL	NIL
cases14b6	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-missed	cb5-2100	2050-target-hit	NIL	NIL	re_target
cases14e8	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-missed	cb5-2100	2050-target-abandoned	NIL	NIL	re_target
cases14i	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_private	cb3-beat	cb4-missed	cb5-1500	2050-target-abandoned	NIL	NIL	re_target
cases14jb	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-missed	cb5-2200	2050-target-hit	NIL	NIL	NIL
cases1500	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-missed	cb5-2400	2050-target-abandoned	NIL	NIL	re_target
cases150k	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-missed	cb5-2400	2050-target-abandoned	NIL	NIL	re_target
cases1551	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-missed	cb5-2500	2050-target-hit	uc_nonuc	NIL	NIL
cases15bq	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-missed	cb5-2600	2050-target-hit	NIL	NIL	re_target
cases15iu	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-missed	cb5-2700	2050-target-hit	NIL	NIL	re_target
cases15tk	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-missed	cb5-2800	2050-target-abandoned	NIL	uc_noccs	re_target
cases15vt	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-missed	cb5-2900	2050-target-hit	NIL	uc_noccs	NIL
cases15z6	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-missed	cb5-2900	2050-target-abandoned	NIL	NIL	re_target
cases18at	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-hit	cb5-1000	2050-target-hit	uc_nonuc	NIL	NIL
cases18hy	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-hit	cb5-1100	2050-target-hit	uc_nonuc	NIL	re_target
cases18jq	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-hit	cb5-1100	2050-target-abandoned	NIL	NIL	re_target
cases18kw	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-hit	cb5-1100	2050-target-abandoned	NIL	NIL	re_target
cases18n6	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-hit	cb5-1200	2050-target-hit	NIL	NIL	re_target
cases18qv	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-hit	cb5-1200	2050-target-abandoned	NIL	NIL	NIL
cases18s8	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-hit	cb5-1200	2050-target-abandoned	NIL	uc_noccs	re_target
cases18zm	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-hit	cb5-1300	2050-target-abandoned	uc_nonuc	NIL	re_target
cases19fr	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-hit	cb5-1500	2050-target-hit	NIL	NIL	NIL
cases19gg	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-hit	cb5-1500	2050-target-hit	NIL	NIL	re_target
cases19kl	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-hit	cb5-1500	2050-target-abandoned	NIL	NIL	NIL
cases19qf	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-hit	cb5-1600	2050-target-abandoned	NIL	NIL	NIL
cases19s6	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-hit	cb5-1600	2050-target-abandoned	uc_nonuc	NIL	re_target
cases19uq	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-hit	cb5-1700	2050-target-hit	NIL	NIL	re_target
cases19yw	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-hit	cb5-1700	2050-target-abandoned	NIL	uc_noccs	re_target
cases1a69	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-hit	cb5-1800	2050-target-abandoned	uc_nonuc	NIL	NIL
cases1afr	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-hit	cb5-2000	2050-target-hit	NIL	NIL	NIL
cases1ajo	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-hit	cb5-2000	2050-target-abandoned	NIL	NIL	re_target
cases1amf	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-hit	cb5-2100	2050-target-hit	NIL	NIL	NIL
cases1amp	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-hit	cb5-2100	2050-target-hit	NIL	NIL	NIL
cases1arq	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-hit	cb5-2100	2050-target-abandoned	uc_nonuc	NIL	re_target
cases1buq	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-hit	cb5-2700	2050-target-hit	uc_nonuc	NIL	re_target
cases1c4l	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-hit	cb5-2800	2050-target-abandoned	NIL	NIL	NIL
cases1c7a	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-hit	cb5-2900	2050-target-hit	NIL	NIL	re_target
cases1c7l	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-hit	cb5-2900	2050-target-hit	NIL	NIL	NIL
cases1cba	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-hit	cb5-2900	2050-target-abandoned	NIL	NIL	re_target
cases1cew	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-hit	cb5-3000	2050-target-hit	NIL	uc_noccs	re_target
cases1cia	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-hit	cb5-3000	2050-target-abandoned	NIL	NIL	re_target
cases1cih	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-hit	cb5-3000	2050-target-abandoned	NIL	uc_noccs	NIL
cases1lt	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_private	cb3-beat	cb4-missed	cb5-1700	2050-target-hit	NIL	NIL	NIL
cases23m	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_private	cb3-beat	cb4-missed	cb5-1900	2050-target-abandoned	NIL	NIL	re_target
cases269	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_private	cb3-beat	cb4-missed	cb5-2000	2050-target-hit	NIL	NIL	NIL
cases2e0	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_private	cb3-beat	cb4-missed	cb5-2100	2050-target-hit	NIL	uc_noccs	re_target
cases2rl	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_private	cb3-beat	cb4-missed	cb5-2300	2050-target-hit	NIL	NIL	NIL
cases2vs	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_private	cb3-beat	cb4-missed	cb5-2300	2050-target-abandoned	NIL	uc_noccs	re_target
cases2wy	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_private	cb3-beat	cb4-missed	cb5-2300	2050-target-abandoned	uc_nonuc	NIL	re_target
cases3ac	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_private	cb3-beat	cb4-missed	cb5-2500	2050-target-abandoned	NIL	NIL	re_target
cases3ae	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_private	cb3-beat	cb4-missed	cb5-2500	2050-target-abandoned	NIL	NIL	re_target
cases3ds	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_private	cb3-beat	cb4-missed	cb5-2600	2050-target-hit	NIL	NIL	re_target
cases3o0	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_private	cb3-beat	cb4-missed	cb5-2700	2050-target-abandoned	NIL	NIL	re_target
cases3ow	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_private	cb3-beat	cb4-missed	cb5-2700	2050-target-abandoned	NIL	NIL	re_target
cases3v4	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_private	cb3-beat	cb4-missed	cb5-2800	2050-target-abandoned	NIL	NIL	re_target
